param,coef,boot_se,z,p_value,ci_2.5,ci_97.5
G_SM:PURPOSE_3,-0.41145099010699276,0.30194728179817415,-1.3626583675689865,0.17299020444850366,-0.44899144734462215,0.663381000327015
G_SM:PURPOSE_4,0.22408722822525842,0.6724171929753733,0.33325624413869714,0.7389408654492242,-1.2636232989244554,1.244270637103551
G_SM:PURPOSE_5,-0.23662151306932272,0.8678954212342418,-0.27263827793079165,0.7851312846765364,-2.2332995848175345,0.5541040208108283
G_SM:PURPOSE_6,-0.6177036900624888,0.40370846009010614,-1.5300736821928869,0.1259984917285073,-1.2953974926924317,0.08438656395652457
G_SM:PURPOSE_7,-0.5811507217697961,0.5148999573688698,-1.1286672555567232,0.2590382273927516,-2.85006474813698,-0.8847307895433276
G_SM:PURPOSE_8,-2.8785861735029075,1.3550430849800884e-15,0.0,1.0,-2.8785861735029075,-2.8785861735029075
G_SM:PURPOSE_9,0.0,0.20928003623071728,0.0,1.0,0.1558267160724301,0.9169802770266503
G_CAR:FIRST,0.4431894754805831,0.3237989909081767,1.368717901922873,0.17108747218230835,-1.809105405876808,-0.5852053332441527
G_CAR:MALE,0.5010025806864957,0.3224954818199832,1.5535181387941275,0.12029939926823463,-1.12199977827417,0.0006676604675771025
G_CAR:AGE_2,0.9552530170162206,0.35561594438464283,2.686192877738338,0.007227135577118959,-0.780913112639574,0.5027860871486499
G_CAR:AGE_3,0.9518486714898962,0.3289246595978815,2.89381973566091,0.003805865877296588,-2.2494547112484082,-1.1185261051749966
G_CAR:AGE_4,0.5931391573206138,0.3127421803570291,1.8965755007638598,0.05788398657053917,0.4030145520940925,1.5443868506657696
G_CAR:AGE_5,-0.25092385811904083,0.3670926678907167,-0.6835436391601827,0.49426338476567233,0.46304000916600835,1.6395065190038187
G_CAR:AGE_6,0.0,0.33964290174972683,0.0,1.0,0.22141155396138043,1.3673665769541077
G_CAR:INCOME_1,-1.251996578365785,0.35495489778474654,-3.527199050300263,0.00041998090122907783,-0.774272486338894,0.4928015232670665
G_CAR:INCOME_2,-0.7040124835396846,3.387607712450221e-16,0.0,1.0,-0.7040124835396846,-0.7040124835396846
G_CAR:INCOME_3,-0.5992657847395377,0.3265217283144547,-1.8353013988778677,0.06646104392755214,-1.7038529027239455,-0.527165653178561
G_CAR:INCOME_4,-1.8309032311056541,0.2233526666796087,-8.197364546052269,2.220446049250313e-16,-0.18502921928868732,0.6609707549969385
G_CAR:PURPOSE_2,-0.9561770555564887,0.3202246443222201,-2.9859571163871865,0.0028269228299284688,0.8808194810100836,2.047426476428902
G_CAR:PURPOSE_3,0.37803665882406506,0.9638119010347677,0.3922307437978275,0.6948877301504957,-5.355966104964148,-1.9930948541793585
G_CAR:PURPOSE_4,1.5026393924553865,0.6100449685744004,2.463161684567072,0.013771779651319926,-2.30100203062448,0.11216487264205013
G_CAR:PURPOSE_5,-8.08284504651957,1.2927805874633853,-6.252294569474648,4.044655721457957e-10,-4.379018871779595,-0.5003796037109528
G_CAR:PURPOSE_6,-0.9460086981215724,0.875478798664997,-1.0805615162401707,0.2798922088833655,-4.241013884275986,-1.1506787130079668
G_CAR:PURPOSE_7,-1.541894710255738,9.033620566533923e-16,0.0,1.0,-1.541894710255738,-1.541894710255738
