param,coef_base,coef_new,diff,abs_diff,converged_base,converged_new,boot_se,z_diff_vs_bootse,ci_2.5,ci_97.5,p_boot,ratio
G_CAR:AGE_6,0.2918492155293806,0.45753800404831463,0.16568878851893404,0.16568878851893404,False,False,0.3127421803570291,0.5297935453726846,0.4030145520940925,1.5443868506657696,0.0578839865705391,1.0
G_SM:PURPOSE_5,0.6878779940500811,0.5505362254529855,-0.13734176859709557,0.13734176859709557,False,False,0.6724171929753733,-0.2042508282534733,-1.2636232989244554,1.244270637103551,0.7389408654492242,1.0
G_SM:INCOME_2,-0.18459673855734843,-0.06520366125042842,0.11939307730692,0.11939307730692,False,False,0.2552838274762462,0.46768758713487,-0.226757770690056,0.693881120888484,6.235906531149027e-07,1.0
G_CAR:PURPOSE_5,-0.6953820966830125,-0.8071521129337457,-0.11177001625073313,0.11177001625073313,False,False,0.9638119010347675,-0.1159666280637691,-5.355966104964148,-1.9930948541793585,0.6948877301504957,1.0
ASC_CAR,-0.383377841565768,-0.4875350992743287,-0.10415725770856071,0.10415725770856071,False,False,0.3580046269363217,-0.29093830043455604,-0.7984175218101697,0.6606827107811353,0.89057873476561,1.0
G_CAR:AGE_5,-0.4584893702840166,-0.36725547279870807,0.09123389748530852,0.09123389748530852,False,False,0.3289246595978815,0.27737019655760753,-2.249454711248408,-1.1185261051749966,0.0038058658772965,1.0
G_CAR:PURPOSE_8,-1.014459396534619,-1.0970902185256406,-0.08263082199102167,0.08263082199102167,False,False,0.875478798664997,-0.09438357858239861,-4.241013884275986,-1.1506787130079668,0.2798922088833655,1.0
G_SM:MALE,0.43201271942008623,0.3683976800521953,-0.06361503936789092,0.06361503936789092,False,False,0.1483828865212856,-0.42872221223951806,0.3011689177427722,0.7905450468557661,0.1874523895114674,1.0
G_CAR:MALE,0.5221725326600003,0.4937247747506728,-0.02844775790932752,0.02844775790932752,False,False,0.2092800362307172,-0.13593154140113858,0.1558267160724301,0.9169802770266504,1.0,1.0
B_SEATS,-0.024098998153450773,-0.006187870344223199,0.017911127809227573,0.017911127809227573,False,False,0.0927219515291675,0.19317030664085277,-0.0561732396319651,0.2611653498113429,0.3881410985069919,1.0
G_SM:AGE_6,0.34466020871621433,0.3595644472068055,0.014904238490591193,0.014904238490591193,False,False,0.1810350098003164,0.08232793483995572,0.4143866640312079,1.00064488373463,4.1618417601085875e-09,1.0
G_SM:PURPOSE_8,-0.6749508052473572,-0.6736625473762016,0.001288257871155607,0.001288257871155607,False,False,0.5148999573688698,0.00250195761859951,-2.85006474813698,-0.8847307895433276,0.2590382273927516,1.0
B_CO,-0.0027251883422322034,-0.0019363679772111484,0.000788820365021055,0.000788820365021055,False,False,0.000382657620919,2.0614259899661858,-0.0032183941006696,-0.0017319106565326,0.0,1.0
B_TT,-0.007036007017094391,-0.007467550875097521,-0.00043154385800312986,0.00043154385800312986,False,False,0.0015752868755443,-0.27394620288067906,-0.0100047159841802,-0.0046364060816341,0.0,1.0
B_HE,-0.0010517966578883471,-0.0012338085074215656,-0.00018201184953321845,0.00018201184953321845,False,False,0.0001878460730545,-0.968941466667824,-0.0015253319274254,-0.0008921085537391,0.0,1.0
G_SM:PURPOSE_9,-2.8785861735029075,-2.8785861735029075,0.0,0.0,False,False,1.3550430849800884e-15,0.0,-2.8785861735029075,-2.8785861735029075,1.0,1.0
G_SM:INCOME_4,-0.5303267503196865,-0.5303267503196865,0.0,0.0,False,False,3.387607712450221e-16,0.0,-0.5303267503196865,-0.5303267503196865,1.0,1.0
G_CAR:INCOME_4,-0.7040124835396846,-0.7040124835396846,0.0,0.0,False,False,3.387607712450221e-16,0.0,-0.7040124835396846,-0.7040124835396846,1.0,1.0
G_CAR:PURPOSE_9,-1.541894710255738,-1.541894710255738,0.0,0.0,False,False,9.033620566533925e-16,0.0,-1.541894710255738,-1.541894710255738,1.0,1.0
param_42,-7.46644162402087,-7.46644162402087,0.0,0.0,False,False,2.710086169960177e-15,0.0,-7.46644162402087,-7.46644162402087,1.0,1.0
param_43,0.0,0.0,0.0,0.0,False,False,0.0,,0.0,0.0,1.0,1.0
